00000 = WR1
00001 = S10 M1
00002 = S10 M2
00003 = S10 M3
00004 = S10 M4
00005 = S10 M5
00006 = S11 M1
00007 = S11 M2
00008 = S11 M3
00009 = S11 M4
00010 = S11 M5
00011 = S12 M1
00012 = S12 M2
00013 = S12 M3
00014 = S12 M4
00015 = S12 M5
00016 = S13 M1
00017 = S13 M2
00018 = S13 M3
00019 = S13 M4
00020 = S13 M5
00021 = S14 M1
00022 = S14 M2
00023 = S14 M3
00024 = S14 M4
00025 = S14 M5
00026 = S15 M1
00027 = S15 M2
00028 = S15 M3
00029 = S15 M4
00030 = S15 M5
00031 = S16 M1
00032 = S16 M2
00033 = S16 M3
00034 = S16 M4
00035 = S16 M5
00036 = S17 M1
00037 = S17 M2
00038 = S17 M3
00039 = S17 M4
00040 = S17 M5
00041 = S18 M1
00042 = S18 M2
00043 = S18 M3
00044 = S18 M4
00045 = S18 M5
00046 = S19 M1
00047 = S19 M2
00048 = S19 M3
00049 = S19 M4
00050 = S19 M5
00051 = S20 M1
00052 = S20 M2
00053 = S20 M3
00054 = S20 M4
00055 = S20 M5
00056 = S21 M1
00057 = S21 M2
00058 = S21 M3
00059 = S21 M4
00060 = S21 M5
00061 = S22 M1
00062 = S22 M2
00063 = S22 M3
00064 = S22 M4
00065 = S22 M5
---
realized that no WR after first were saved, restarting
---
00066 = WR
00067 = S10 M1
00068 = S10 M2
00069 = S10 M3
00070 = S10 M4
00071 = S10 M5
00072 = S11 M1
00073 = S11 M2
00074 = S11 M3
00075 = S11 M4
00076 = S11 M5
00077 = S12 M1
00078 = S12 M2
00079 = S12 M3
00080 = S12 M4
00081 = S12 M5
00082 = S13 M1
00083 = S13 M2
00084 = S13 M3
00085 = S13 M4
00086 = S13 M5
00087 = S14 M1
00088 = S14 M2
00089 = S14 M3
00090 = S14 M4
00091 = S14 M5
00092 = S15 M1
00093 = S15 M2
00094 = S15 M3
00095 = S15 M4
00096 = S15 M5
00097 = S16 M1
00098 = S16 M2
00099 = S16 M3
00100 = S16 M4
00101 = S16 M5
00102 = S17 M1
00103 = S17 M2
00104 = S17 M3
00105 = S17 M4
00106 = S17 M5
00107 = S18 M1
00108 = S18 M2
00109 = S18 M3
00110 = S18 M4
00111 = S18 M5
00112 = WR
00113 = S19 M1
00114 = S19 M2
00115 = S19 M3
00116 = S19 M4
00117 = S19 M5
00118 = S19 M6 (oops)
00119 = S20 M1
00120 = S20 M2
00121 = S20 M3
00122 = S20 M4
00123 = S20 M5
00124 = S21 M1
00125 = S21 M2
00126 = S21 M3
00127 = S21 M4
00128 = S21 M5
00129 = S22 M1
00130 = S22 M2
00131 = S22 M3
00132 = S22 M4
00133 = S22 M5
00134 = S23 M1
00135 = S23 M2
00136 = S23 M3
00137 = S23 M4
00138 = S23 M5
00139 = S24 M1
00140 = S24 M2
00141 = S24 M3
00142 = S24 M4
00143 = S24 M5
00144 = S25 M1
00145 = S25 M2
00146 = S25 M3
00147 = S25 M4
00148 = S25 M5
00148 = S26 M1
00150 = S26 M2
00151 = S26 M3
00152 = S26 M4
00153 = S26 M5
00154 = S27 M1
00155 = S27 M2
00156 = S27 M3
00157 = S27 M4
00158 = S27 M5
00159 = S28 M1
00160 = S28 M2
00161 = S28 M3
00162 = S28 M4
00163 = S28 M5
00164 = S29 M1
00165 = S29 M2
00166 = S29 M3
00167 = S29 M4
00168 = S29 M5
00169 = WR
00170 = junk
00171 = junk
00172 = junk
00173 = junk
00174 = junk
00175 = S31 M1
00176 = S31 M2
00177 = S31 M3
00178 = S31 M4
00179 = S31 M5
00180 = S32 M1
00181 = S32 M2
00182 = S32 M3
00183 = S32 M4
00184 = S32 M5
00185 = S33 M1 - 4 cm
00186 = S33 M2 - 4 cm
00187 = S33 M3 - 4 cm
00188 = S33 M4 - 4 cm
00189 = S33 M5 - 4 cm
00190 = S33 M1 - 1.5 cm
00191 = S33 M2 - 1.5 cm
00192 = S33 M3 - 1.5 cm
00193 = S33 M4 - 1.5 cm
00194 = S33 M5 - 1.5 cm
00195 = S34 M1
00196 = S34 M2
00197 = S34 M3
00198 = S34 M4
00199 = S34 M5
00200 = S35 M1
00201 = S35 M2
00202 = S35 M3
00203 = S35 M4
00204 = S35 M5
00205 = S36 M1
00206 = S36 M2
00207 = S36 M3
00208 = S36 M4
00209 = S36 M5
00210 = WR
00211 = S37 M1
00212 = S37 M2
00213 = S37 M3
00214 = S37 M4
00215 = S37 M5
00216 = S38 M1
00217 = S38 M2
00218 = S38 M3
00219 = S38 M4
00220 = S38 M5
00221 = S39 M1
00222 = S39 M2
00223 = S39 M3
00224 = S39 M4
00225 = S39 M5
00226 = S41 M1
00227 = S41 M2
00228 = S41 M3
00229 = S41 M4
00230 = S41 M5
00231 = S42 M1
00232 = S42 M2
00233 = S42 M3
00234 = S42 M4
00235 = S42 M5
00236 = S44 M1
00237 = S44 M2
00238 = S44 M3
00239 = S44 M4
00240 = S44 M5
00241 = S45 M1
00242 = S45 M2
00243 = S45 M3
00244 = S45 M4
00245 = S45 M5
00246 = S46 M1
00247 = S46 M2
00248 = S46 M3
00249 = S46 M4
00250 = S46 M5
00251 = Al dish M1
00252 = Al dish M2
00253 = Al dish M3
00254 = Al dish M4
00255 = Al dish M5
