spectrum_number,sample_name,dtime,channel_101,channel_102,channel_103,channel_104,channel_105,channel_106,channel_107
,bbhot,02:12:00 PM,1388.84,1384.51,19.47,10.99,12.35,16.94,24.45
,048 - White Sandstone,02:18:00 PM,,,19.48,11,11.87,16.86,24.5
,055 - Bauxite,02:23:00 PM,,,19.45,11.05,11.83,16.12,24.54
,056 - Chert,02:27:00 PM,,,19.44,11.02,11.84,15.96,24.56
,059 - Encrinal Limestone,02:31:00 PM,,,19.43,11,11.9,15.78,24.59
,063 - Chalk,02:35:00 PM,,,19.41,10.99,11.76,15.61,24.62
,065 - Dolomitic Limestone,02:40:00 PM,,,19.4,11,12.91,15.53,24.65
,061 - Cherty Limestone,02:44:00 PM,,,19.39,11.03,12.11,15.43,24.67
,067 - Hematite Limestone,02:48:00 PM,,,19.37,11.01,11.74,15.35,24.69
,068 - Siderite Rock,02:52:00 PM,,,19.36,10.98,11.72,15.41,24.72
,047- Argillaceous Sandstone,02:56:00 PM,,,19.35,11.02,12.32,15.41,24.74
,050 - Arkose,03:00:00 PM,,,19.33,11,12.16,15.37,24.76
,051 - Graywacke,03:04:00 PM,,,19.32,11,11.82,15.48,24.79
,bbwarm,03:12:00 PM,1274.08,1271.94,19.32,11.05,11.81,16.31,24.84
