Wavelength,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11,sample_12
390.000000,0.338759,0.388442,0.246733,0.290081,0.257860,0.359470,0.242280,0.513686,0.474362,0.545695,0.357076,0.496060
391.000000,0.340737,0.387695,0.245819,0.287576,0.257876,0.360127,0.240499,0.514284,0.472879,0.546072,0.354718,0.495891
392.000000,0.340878,0.390157,0.248124,0.287847,0.257805,0.359385,0.240729,0.514430,0.475091,0.543956,0.356490,0.493584
393.000000,0.340408,0.387661,0.246602,0.290607,0.256903,0.359078,0.240375,0.515020,0.473380,0.545135,0.355850,0.496770
394.000000,0.341709,0.388582,0.246645,0.289825,0.259239,0.359162,0.240880,0.515242,0.476329,0.545435,0.357716,0.496603
395.000000,0.341287,0.387676,0.247768,0.291525,0.261260,0.357906,0.239885,0.516294,0.475794,0.544933,0.358119,0.495581
396.000000,0.340197,0.388338,0.245655,0.289155,0.259905,0.361204,0.240086,0.515946,0.477437,0.546297,0.357354,0.496068
397.000000,0.341659,0.389152,0.246905,0.289932,0.260372,0.359764,0.240057,0.516652,0.476435,0.545417,0.357134,0.497777
398.000000,0.340564,0.389961,0.248878,0.289343,0.259509,0.360812,0.243066,0.516164,0.475701,0.545781,0.358693,0.494651
399.000000,0.342633,0.389644,0.246360,0.290344,0.259914,0.361203,0.240619,0.516630,0.475445,0.546422,0.358193,0.497303
400.000000,0.341933,0.390792,0.249414,0.288621,0.261376,0.359496,0.244329,0.516381,0.476719,0.545235,0.359982,0.498185
401.000000,0.342026,0.389644,0.250004,0.291273,0.262632,0.360032,0.241845,0.517847,0.476685,0.544866,0.360556,0.497235
402.000000,0.341756,0.389612,0.248319,0.291103,0.262341,0.362716,0.244507,0.517386,0.478134,0.548038,0.360009,0.498202
403.000000,0.343883,0.392851,0.249173,0.290911,0.261887,0.361671,0.242597,0.517123,0.476251,0.546575,0.359465,0.497885
404.000000,0.342729,0.390742,0.250192,0.290766,0.261344,0.361009,0.241587,0.517310,0.479430,0.549643,0.361280,0.497225
405.000000,0.342675,0.389828,0.248796,0.290448,0.261743,0.361671,0.244626,0.517603,0.478911,0.549672,0.359916,0.497425
406.000000,0.342970,0.390051,0.250319,0.292254,0.261003,0.363090,0.244931,0.517955,0.477659,0.547384,0.359414,0.499169
407.000000,0.344072,0.389998,0.248966,0.290538,0.260530,0.363142,0.242809,0.518079,0.479885,0.550418,0.359435,0.498043
408.000000,0.344120,0.392071,0.249345,0.292402,0.261071,0.360945,0.243567,0.517786,0.477526,0.549203,0.359622,0.497373
409.000000,0.344381,0.390963,0.249206,0.294143,0.262465,0.364246,0.243175,0.519317,0.478735,0.547805,0.360533,0.499238
410.000000,0.344611,0.391645,0.250529,0.293731,0.262339,0.363777,0.244141,0.519586,0.477472,0.546051,0.361214,0.498819
411.000000,0.346531,0.391643,0.251523,0.290916,0.261376,0.362855,0.244548,0.520745,0.480812,0.549502,0.359545,0.498347
412.000000,0.344191,0.392625,0.250359,0.292058,0.263021,0.362012,0.244266,0.518560,0.477534,0.549025,0.360719,0.499831
413.000000,0.344292,0.391232,0.249447,0.293188,0.262950,0.364451,0.242973,0.520030,0.477954,0.549603,0.361587,0.500737
414.000000,0.344195,0.391187,0.249810,0.292866,0.262305,0.364065,0.244384,0.517653,0.478972,0.549118,0.362223,0.500199
415.000000,0.345828,0.392668,0.251459,0.291705,0.263315,0.362321,0.245840,0.520588,0.481139,0.548377,0.361756,0.499320
