Wavelength,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11,reference_12
400.000000,0.274068,0.505969,0.226589,0.484952,0.210646,0.454848,0.311880,0.375358,0.372672,0.195134,0.413925,0.319949
402.000000,0.274194,0.507480,0.227199,0.483312,0.212291,0.454296,0.312767,0.373337,0.373249,0.194953,0.412866,0.321559
404.000000,0.271985,0.507763,0.227514,0.484268,0.212872,0.454361,0.311717,0.374490,0.372506,0.194400,0.413267,0.321177
406.000000,0.273131,0.509219,0.226502,0.484979,0.212270,0.456251,0.312886,0.374437,0.373837,0.193829,0.415935,0.321680
408.000000,0.273888,0.509072,0.227846,0.485222,0.213908,0.457333,0.315401,0.374757,0.374267,0.193829,0.417032,0.323119
410.000000,0.275333,0.507492,0.231015,0.485821,0.213558,0.459009,0.315463,0.376138,0.372903,0.194107,0.414993,0.322594
412.000000,0.272196,0.508618,0.230347,0.484431,0.214716,0.456448,0.312699,0.376226,0.374645,0.197663,0.416163,0.321781
414.000000,0.274379,0.508986,0.229256,0.487089,0.212843,0.457965,0.314706,0.373840,0.377122,0.196386,0.417003,0.321314
416.000000,0.275798,0.508600,0.229745,0.485461,0.215583,0.460665,0.315376,0.378418,0.374498,0.196628,0.417120,0.324033
418.000000,0.274226,0.508773,0.230616,0.487062,0.216361,0.457156,0.315421,0.378120,0.376511,0.197705,0.416712,0.323385
420.000000,0.275802,0.511257,0.229309,0.486659,0.214503,0.459049,0.317670,0.378801,0.376279,0.199692,0.417035,0.326780
422.000000,0.276536,0.511169,0.231879,0.488683,0.216168,0.459091,0.314183,0.377781,0.376296,0.197549,0.419183,0.323723
424.000000,0.276776,0.511268,0.231850,0.487207,0.214890,0.460546,0.318387,0.377815,0.378132,0.198142,0.419165,0.324906
426.000000,0.276561,0.510774,0.231960,0.489063,0.218414,0.459872,0.316419,0.378014,0.376581,0.199585,0.419022,0.327181
428.000000,0.279023,0.511690,0.233193,0.489206,0.216939,0.459073,0.317701,0.379345,0.377528,0.199723,0.420949,0.324592
430.000000,0.277748,0.511077,0.230859,0.488799,0.216893,0.462176,0.317550,0.379590,0.377581,0.199382,0.420317,0.327896
