TIRS1,TIRS2
2.95,4.2
3.8,5.05
4.64,5.89
5.48,6.73
8.02,9.27
8.86,10.11
9.7,10.95
10.55,11.8
11.39,12.64
12.24,13.48
13.08,14.33
15.61,16.86
16.45,17.7
17.3,18.55
18.14,19.39
18.99,20.24
19.83,21.08
20.67,21.92
21.52,22.77
22.36,23.61
23.2,24.45
24.05,25.3
24.89,26.14
25.74,26.99
26.58,27.83
27.42,28.67
28.27,29.52
30.8,32.05
31.64,32.89
32.49,33.74
33.33,34.58
34.17,35.42
35.02,36.27
35.86,37.11
36.71,37.96
37.55,38.8
38.39,39.64
39.24,40.49
40.08,41.33
40.92,42.17
41.77,43.02
42.61,43.86
43.46,44.71
844.3,45.55
45.14,46.39
45.99,47.24
46.83,48.08
47.68,48.92
48.52,49.77
49.36,50.61
50.21,51.46
51.05,52.3
51.89,53.14
52.74,53.99
